"GEO_ID","NAME","B15003_001E","B15003_001M","B15003_002E","B15003_002M","B15003_003E","B15003_003M","B15003_004E","B15003_004M","B15003_005E","B15003_005M","B15003_006E","B15003_006M","B15003_007E","B15003_007M","B15003_008E","B15003_008M","B15003_009E","B15003_009M","B15003_010E","B15003_010M","B15003_011E","B15003_011M","B15003_012E","B15003_012M","B15003_013E","B15003_013M","B15003_014E","B15003_014M","B15003_015E","B15003_015M","B15003_016E","B15003_016M","B15003_017E","B15003_017M","B15003_018E","B15003_018M","B15003_019E","B15003_019M","B15003_020E","B15003_020M","B15003_021E","B15003_021M","B15003_022E","B15003_022M","B15003_023E","B15003_023M","B15003_024E","B15003_024M","B15003_025E","B15003_025M",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!No schooling completed","Margin of Error!!Total!!No schooling completed","Estimate!!Total!!Nursery school","Margin of Error!!Total!!Nursery school","Estimate!!Total!!Kindergarten","Margin of Error!!Total!!Kindergarten","Estimate!!Total!!1st grade","Margin of Error!!Total!!1st grade","Estimate!!Total!!2nd grade","Margin of Error!!Total!!2nd grade","Estimate!!Total!!3rd grade","Margin of Error!!Total!!3rd grade","Estimate!!Total!!4th grade","Margin of Error!!Total!!4th grade","Estimate!!Total!!5th grade","Margin of Error!!Total!!5th grade","Estimate!!Total!!6th grade","Margin of Error!!Total!!6th grade","Estimate!!Total!!7th grade","Margin of Error!!Total!!7th grade","Estimate!!Total!!8th grade","Margin of Error!!Total!!8th grade","Estimate!!Total!!9th grade","Margin of Error!!Total!!9th grade","Estimate!!Total!!10th grade","Margin of Error!!Total!!10th grade","Estimate!!Total!!11th grade","Margin of Error!!Total!!11th grade","Estimate!!Total!!12th grade, no diploma","Margin of Error!!Total!!12th grade, no diploma","Estimate!!Total!!Regular high school diploma","Margin of Error!!Total!!Regular high school diploma","Estimate!!Total!!GED or alternative credential","Margin of Error!!Total!!GED or alternative credential","Estimate!!Total!!Some college, less than 1 year","Margin of Error!!Total!!Some college, less than 1 year","Estimate!!Total!!Some college, 1 or more years, no degree","Margin of Error!!Total!!Some college, 1 or more years, no degree","Estimate!!Total!!Associate's degree","Margin of Error!!Total!!Associate's degree","Estimate!!Total!!Bachelor's degree","Margin of Error!!Total!!Bachelor's degree","Estimate!!Total!!Master's degree","Margin of Error!!Total!!Master's degree","Estimate!!Total!!Professional school degree","Margin of Error!!Total!!Professional school degree","Estimate!!Total!!Doctorate degree","Margin of Error!!Total!!Doctorate degree",
"0400000US29","Missouri","4073377","1373","33236","1337","520","151","498","134","652","196","1427","299","3070","453","3041","379","4850","450","13765","949","10762","692","74271","1761","56959","1911","91626","2092","100219","2430","59986","1535","1079050","7233","188763","2838","297213","3709","620238","5840","307566","3987","701863","6715","308835","4513","68040","1803","46927","1454",
"0500000US29001","Adair County, Missouri","13621","175","61","34","0","20","0","20","0","20","0","20","8","12","0","20","9","15","13","13","46","36","384","121","119","63","302","101","298","100","142","46","4258","334","497","124","825","155","1662","221","844","154","2114","224","1263","193","228","103","548","146",
"0500000US29003","Andrew County, Missouri","12005","45","44","29","9","12","8","9","0","17","4","5","0","17","0","17","0","17","17","17","84","66","227","93","97","49","163","65","340","107","135","48","3900","300","710","181","1042","192","1621","200","725","156","1865","229","872","143","102","46","40","32",
"0500000US29005","Atchison County, Missouri","3945","13","22","14","0","15","0","15","0","15","0","15","4","8","0","15","0","15","0","15","22","15","100","42","23","13","72","29","85","30","65","24","1443","100","182","48","298","56","464","79","284","51","666","79","153","42","46","24","16","9",
"0500000US29007","Audrain County, Missouri","17659","163","132","62","0","20","0","20","0","20","0","20","0","20","0","20","20","17","39","32","51","33","654","158","439","136","588","160","666","145","147","51","6734","409","1461","213","1204","207","2151","331","1149","220","1419","258","599","146","144","63","62","35",
"0500000US29009","Barry County, Missouri","24688","108","329","151","0","23","2","4","0","23","26","28","51","39","82","86","39","34","415","205","257","122","575","202","601","158","953","208","682","178","421","120","9211","568","1209","210","1772","261","3265","372","1635","246","2111","343","866","235","137","77","49","47",
"0500000US29011","Barton County, Missouri","8154","32","114","56","23","33","0","17","0","17","0","17","12","19","30","31","4","7","11","13","35","28","273","114","132","69","191","69","204","63","77","48","3114","278","329","97","715","149","1108","199","544","96","913","154","243","81","76","57","6","8",
"0500000US29013","Bates County, Missouri","11323","84","54","30","0","17","0","17","4","7","0","17","7","14","10","17","5","6","6","8","48","28","329","78","251","91","406","117","309","91","233","61","4523","322","508","106","782","130","1614","246","674","122","942","152","537","138","18","13","63","45",
"0500000US29015","Benton County, Missouri","14451","54","119","61","0","17","0","17","4","9","0","17","0","17","0","17","0","17","32","31","37","28","477","118","202","67","425","107","463","123","381","119","5259","376","1161","193","1209","167","2068","254","1083","196","1035","185","377","103","81","51","38","38",
"0500000US29017","Bollinger County, Missouri","8594","64","39","28","0","17","0","17","0","17","0","17","0","17","32","29","0","17","76","50","48","27","419","110","318","93","474","153","282","100","135","71","3376","286","580","124","521","164","1086","189","396","114","562","132","212","66","8","9","30","29",
"0500000US29019","Boone County, Missouri","101676","62","749","231","11","17","12","16","0","26","8","11","41","51","62","73","228","130","185","95","100","67","750","170","664","209","1088","227","1646","388","896","175","17126","900","3628","494","6116","622","13723","813","7109","579","26549","1163","12780","770","3824","513","4381","514",
"0500000US29021","Buchanan County, Missouri","59825","127","626","246","0","26","0","26","0","26","80","68","174","109","100","89","9","9","213","154","257","103","1128","224","1073","200","1502","241","1578","268","935","203","17822","809","3972","419","4846","397","9912","727","3345","342","8257","540","2763","336","716","169","517","129",
"0500000US29023","Butler County, Missouri","29211","154","254","102","0","23","0","23","0","23","9","15","45","40","49","43","8","9","131","66","136","82","860","215","835","163","1222","277","874","211","488","148","8452","536","2273","320","2392","335","4130","479","2495","336","2805","405","1256","274","329","122","168","90",
"0500000US29025","Caldwell County, Missouri","6223","21","44","22","0","15","0","15","0","15","0","15","1","4","4","7","0","15","4","6","8","8","129","44","62","27","155","43","157","46","60","27","2406","175","329","72","444","72","847","121","462","97","826","165","208","47","55","32","22","17",
"0500000US29027","Callaway County, Missouri","30003","185","482","198","0","23","0","23","3","6","31","38","3","8","0","23","4","9","17","23","66","51","770","227","502","158","1191","256","699","208","532","177","8891","585","2326","435","2293","352","3665","403","2389","345","4175","424","1523","313","206","109","235","101",
"0500000US29029","Camden County, Missouri","32899","198","172","90","15","26","4","7","0","23","9","14","55","63","0","23","7","14","148","100","82","51","644","182","562","182","811","211","855","200","512","161","10256","678","1670","276","2291","284","5036","495","2756","343","4458","447","1867","227","417","134","272","93",
"0500000US29031","Cape Girardeau County, Missouri","50061","135","334","109","0","26","0","26","7","11","0","26","21","19","9","16","69","60","131","66","94","61","883","171","597","150","1127","253","1107","208","548","143","13699","658","2240","301","4338","437","7103","512","2808","320","9417","536","4008","413","845","180","676","149",
"0500000US29033","Carroll County, Missouri","6248","51","69","40","0","15","0","15","3","4","6","9","12","22","0","15","1","3","15","14","5","6","207","86","109","61","224","81","135","61","94","33","2524","167","323","111","377","86","725","122","337","82","655","117","370","82","43","29","14","14",
"0500000US29035","Carter County, Missouri","4247","53","50","46","0","15","0","15","0","15","0","15","0","15","0","15","7","8","0","15","5","10","231","95","222","79","133","62","115","71","92","76","1088","159","318","102","452","144","711","125","307","109","354","125","106","54","35","34","21","23",
"0500000US29037","Cass County, Missouri","67897","169","392","133","1","3","0","26","27","37","0","26","32","38","13","22","84","76","141","81","105","71","548","134","620","190","1256","286","1051","238","839","151","20748","953","2698","345","6102","550","10763","703","5310","473","11052","714","4858","508","809","180","448","127",
"0500000US29039","Cedar County, Missouri","9669","52","110","83","0","17","0","17","0","17","0","17","0","17","0","17","0","17","14","16","90","58","373","135","138","69","316","139","345","149","119","56","3185","340","750","192","740","142","1422","245","631","178","950","205","330","114","112","69","44","47",
"0500000US29041","Chariton County, Missouri","5378","18","61","30","0","15","0","15","0","15","0","15","0","15","0","15","0","15","5","5","13","16","121","40","128","54","139","45","118","44","78","33","2418","128","235","48","410","80","436","63","368","72","557","80","251","55","17","11","23","14",
"0500000US29043","Christian County, Missouri","54396","161","285","135","0","26","0","26","0","26","0","26","103","100","6","10","3","6","105","68","77","50","601","147","545","191","983","209","1295","339","820","185","14811","828","2143","265","4547","411","9314","685","4359","437","9810","629","3361","432","689","178","539","152",
"0500000US29045","Clark County, Missouri","4784","18","36","25","0","15","0","15","0","15","0","15","0","15","0","15","0","15","11","12","5","7","179","63","70","34","174","65","127","46","45","29","1847","122","228","57","341","70","743","111","389","88","416","81","151","48","22","23","0","15",
"0500000US29047","Clay County, Missouri","155930","174","1329","267","56","47","11","18","36","39","22","24","88","52","89","64","38","31","315","139","237","127","1061","240","1275","297","2196","384","2642","460","2042","303","39471","1455","5731","588","12327","727","23916","1165","13343","891","33780","1423","12357","859","2535","329","1033","195",
"0500000US29049","Clinton County, Missouri","14059","47","104","45","0","20","0","20","0","20","2","4","0","20","0","20","0","20","4","10","0","20","112","43","196","93","154","70","341","96","142","45","4725","333","671","140","1112","177","2694","284","1188","180","1869","193","541","104","139","65","65","50",
