"GEO_ID","NAME","B08301_001E","B08301_001M","B08301_002E","B08301_002M","B08301_003E","B08301_003M","B08301_004E","B08301_004M","B08301_005E","B08301_005M","B08301_006E","B08301_006M","B08301_007E","B08301_007M","B08301_008E","B08301_008M","B08301_009E","B08301_009M","B08301_010E","B08301_010M","B08301_011E","B08301_011M","B08301_012E","B08301_012M","B08301_013E","B08301_013M","B08301_014E","B08301_014M","B08301_015E","B08301_015M","B08301_016E","B08301_016M","B08301_017E","B08301_017M","B08301_018E","B08301_018M","B08301_019E","B08301_019M","B08301_020E","B08301_020M","B08301_021E","B08301_021M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Car, truck, or van:","Margin of Error!!Total:!!Car, truck, or van:","Estimate!!Total:!!Car, truck, or van:!!Drove alone","Margin of Error!!Total:!!Car, truck, or van:!!Drove alone","Estimate!!Total:!!Car, truck, or van:!!Carpooled:","Margin of Error!!Total:!!Car, truck, or van:!!Carpooled:","Estimate!!Total:!!Car, truck, or van:!!Carpooled:!!In 2-person carpool","Margin of Error!!Total:!!Car, truck, or van:!!Carpooled:!!In 2-person carpool","Estimate!!Total:!!Car, truck, or van:!!Carpooled:!!In 3-person carpool","Margin of Error!!Total:!!Car, truck, or van:!!Carpooled:!!In 3-person carpool","Estimate!!Total:!!Car, truck, or van:!!Carpooled:!!In 4-person carpool","Margin of Error!!Total:!!Car, truck, or van:!!Carpooled:!!In 4-person carpool","Estimate!!Total:!!Car, truck, or van:!!Carpooled:!!In 5- or 6-person carpool","Margin of Error!!Total:!!Car, truck, or van:!!Carpooled:!!In 5- or 6-person carpool","Estimate!!Total:!!Car, truck, or van:!!Carpooled:!!In 7-or-more-person carpool","Margin of Error!!Total:!!Car, truck, or van:!!Carpooled:!!In 7-or-more-person carpool","Estimate!!Total:!!Public transportation (excluding taxicab):","Margin of Error!!Total:!!Public transportation (excluding taxicab):","Estimate!!Total:!!Public transportation (excluding taxicab):!!Bus","Margin of Error!!Total:!!Public transportation (excluding taxicab):!!Bus","Estimate!!Total:!!Public transportation (excluding taxicab):!!Subway or elevated rail","Margin of Error!!Total:!!Public transportation (excluding taxicab):!!Subway or elevated rail","Estimate!!Total:!!Public transportation (excluding taxicab):!!Long-distance train or commuter rail","Margin of Error!!Total:!!Public transportation (excluding taxicab):!!Long-distance train or commuter rail","Estimate!!Total:!!Public transportation (excluding taxicab):!!Light rail, streetcar or trolley (carro público in Puerto Rico)","Margin of Error!!Total:!!Public transportation (excluding taxicab):!!Light rail, streetcar or trolley (carro público in Puerto Rico)","Estimate!!Total:!!Public transportation (excluding taxicab):!!Ferryboat","Margin of Error!!Total:!!Public transportation (excluding taxicab):!!Ferryboat","Estimate!!Total:!!Taxicab","Margin of Error!!Total:!!Taxicab","Estimate!!Total:!!Motorcycle","Margin of Error!!Total:!!Motorcycle","Estimate!!Total:!!Bicycle","Margin of Error!!Total:!!Bicycle","Estimate!!Total:!!Walked","Margin of Error!!Total:!!Walked","Estimate!!Total:!!Other means","Margin of Error!!Total:!!Other means","Estimate!!Total:!!Worked from home","Margin of Error!!Total:!!Worked from home",
"0400000US29","Missouri","2897593","7891","2584653","9742","2342401","8392","242252","4542","190800","3682","30708","1799","11698","946","5409","567","3637","467","33546","1552","29488","1422","2041","331","863","275","980","245","174","77","2876","520","3296","594","5772","600","55142","2208","22443","1155","189865","4598",
"0500000US29001","Adair County, Missouri","10640","530","9515","524","8053","452","1462","297","936","259","275","134","199","106","14","26","38","33","27","30","24","30","0","22","0","22","0","22","3","5","8","13","0","22","18","23","452","164","105","72","515","173",
"0500000US29003","Andrew County, Missouri","8358","340","7843","336","7140","359","703","151","547","131","103","65","32","31","10","8","11","14","0","19","0","19","0","19","0","19","0","19","0","19","0","19","5","9","17","27","167","113","32","28","294","96",
"0500000US29005","Atchison County, Missouri","2540","109","2287","148","2061","143","226","77","113","39","59","61","9","7","44","35","1","2","11","15","11","15","0","17","0","17","0","17","0","17","9","13","0","17","0","17","37","20","15","14","181","88",
"0500000US29007","Audrain County, Missouri","10751","487","10033","472","9135","472","898","207","621","183","84","52","92","62","82","63","19","27","7","17","7","17","0","22","0","22","0","22","0","22","20","33","18","16","5","6","125","66","120","93","423","145",
"0500000US29009","Barry County, Missouri","14815","649","13346","662","12040","651","1306","323","1052","307","202","113","38","38","14","21","0","25","28","32","11","18","0","25","0","25","17","27","0","25","0","25","14","19","0","25","289","146","166","116","972","263",
"0500000US29011","Barton County, Missouri","4850","412","4275","374","3891","333","384","165","304","155","40","39","37","48","3","4","0","19","0","19","0","19","0","19","0","19","0","19","0","19","22","39","2","3","2","3","126","85","65","63","358","95",
"0500000US29013","Bates County, Missouri","7226","309","6372","316","5396","332","976","254","876","243","92","59","6","10","2","3","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","101","84","84","49","669","202",
"0500000US29015","Benton County, Missouri","6505","352","5921","338","5147","339","774","204","685","199","52","43","35","42","0","19","2","4","5","6","5","6","0","19","0","19","0","19","0","19","0","19","6","8","29","39","175","114","133","67","236","80",
