"GEO_ID","NAME","B02001_001E","B02001_001M","B02001_002E","B02001_002M","B02001_003E","B02001_003M","B02001_004E","B02001_004M","B02001_005E","B02001_005M","B02001_006E","B02001_006M","B02001_007E","B02001_007M","B02001_008E","B02001_008M","B02001_009E","B02001_009M","B02001_010E","B02001_010M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!White alone","Margin of Error!!Total:!!White alone","Estimate!!Total:!!Black or African American alone","Margin of Error!!Total:!!Black or African American alone","Estimate!!Total:!!American Indian and Alaska Native alone","Margin of Error!!Total:!!American Indian and Alaska Native alone","Estimate!!Total:!!Asian alone","Margin of Error!!Total:!!Asian alone","Estimate!!Total:!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total:!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total:!!Some other race alone","Margin of Error!!Total:!!Some other race alone","Estimate!!Total:!!Two or more races:","Margin of Error!!Total:!!Two or more races:","Estimate!!Total:!!Two or more races:!!Two races including Some other race","Margin of Error!!Total:!!Two or more races:!!Two races including Some other race","Estimate!!Total:!!Two or more races:!!Two races excluding Some other race, and three or more races","Margin of Error!!Total:!!Two or more races:!!Two races excluding Some other race, and three or more races",
"0500000US29001","Adair County, Missouri","25468","*****","23105","158","942","75","42","43","632","80","6","10","121","72","620","181","190","125","430","111",
"0500000US29003","Andrew County, Missouri","17554","*****","16688","114","187","155","33","33","150","64","95","112","20","24","381","189","125","95","256","150",
"0500000US29005","Atchison County, Missouri","5180","*****","5033","16","21","16","48","24","4","8","0","17","15","16","59","21","19","12","40","22",
"0500000US29007","Audrain County, Missouri","25336","*****","22696","134","1394","174","94","57","23","21","26","20","136","89","967","193","6","10","961","193",
"0500000US29009","Barry County, Missouri","35615","*****","31958","403","80","73","276","135","619","337","0","25","788","325","1894","492","698","268","1196","408",
"0500000US29011","Barton County, Missouri","11732","*****","10860","136","20","16","269","63","4","6","7","11","86","100","486","155","79","103","407","114",
"0500000US29013","Bates County, Missouri","16282","*****","15397","119","298","37","120","64","46","26","9","13","150","111","262","93","87","64","175","67",
"0500000US29015","Benton County, Missouri","19305","*****","18461","113","80","42","259","117","14","24","0","19","30","32","461","114","90","80","371","80",
"0500000US29017","Bollinger County, Missouri","12181","*****","11782","94","68","61","92","82","0","19","0","19","56","86","183","91","29","36","154","86",
"0500000US29019","Boone County, Missouri","179704","*****","144541","605","15924","869","662","167","7926","548","157","97","1793","603","8701","1083","1198","436","7503","987",
"0500000US29021","Buchanan County, Missouri","87904","*****","75591","682","4252","370","357","96","1170","118","513","191","1820","541","4201","576","924","390","3277","481",
"0500000US29023","Butler County, Missouri","42570","*****","38277","154","2119","292","287","103","378","138","31","50","85","67","1393","334","136","133","1257","329",
"0500000US29025","Caldwell County, Missouri","9052","*****","8648","34","57","26","42","20","43","17","0","17","21","29","241","46","34","34","207","44",
"0500000US29027","Callaway County, Missouri","44944","*****","41091","192","1894","191","282","115","365","86","194","167","210","201","908","254","46","47","862","244",
"0500000US29029","Camden County, Missouri","45823","*****","43852","161","387","77","197","87","163","104","0","25","420","145","804","219","136","124","668","173",
"0500000US29031","Cape Girardeau County, Missouri","78834","*****","68830","234","5744","349","73","92","1392","167","104","104","357","189","2334","377","181","121","2153","359",
"0500000US29033","Carroll County, Missouri","8723","*****","8321","58","104","63","7","12","21","26","0","17","14","15","256","61","23","29","233","46",
"0500000US29035","Carter County, Missouri","6085","*****","5801","105","5","7","236","165","0","17","0","17","0","17","43","67","0","17","43","67",
"0500000US29037","Cass County, Missouri","104687","*****","94400","384","4377","384","482","152","626","147","152","22","823","301","3827","477","981","315","2846","417",
"0500000US29039","Cedar County, Missouri","14144","*****","13591","106","17","19","53","79","30","48","0","19","70","89","383","106","32","54","351","98",
"0500000US29041","Chariton County, Missouri","7449","*****","7062","38","159","40","5","7","0","17","0","17","74","40","149","55","39","46","110","35",
"0500000US29043","Christian County, Missouri","87324","*****","82384","470","1012","337","383","215","527","132","24","35","390","277","2604","442","590","352","2014","277",
"0500000US29045","Clark County, Missouri","6783","*****","6563","49","19","27","12","12","89","51","0","17","20","21","80","52","30","43","50","37",
"0500000US29047","Clay County, Missouri","246480","*****","207254","946","15172","849","1028","359","5548","467","828","231","4578","734","12072","1035","2775","670","9297","950",
"0500000US29049","Clinton County, Missouri","20503","*****","19581","37","293","64","74","51","112","59","15","25","20","19","408","96","29","27","379","91",
"0500000US29051","Cole County, Missouri","76630","*****","64113","222","9067","322","297","100","1194","114","18","20","201","117","1740","423","234","140","1506","392",
"0500000US29053","Cooper County, Missouri","17522","*****","15528","78","1024","130","86","30","71","30","36","56","59","44","718","142","179","67","539","133",
"0500000US29055","Crawford County, Missouri","23984","*****","23064","194","138","82","11","14","73","32","116","94","176","181","406","150","79","96","327","106",
"0500000US29057","Dade County, Missouri","7571","*****","7183","38","32","16","53","39","38","28","6","11","21","27","238","53","11","14","227","54",
"0500000US29059","Dallas County, Missouri","16841","*****","16191","61","19","26","170","131","108","84","0","19","29","35","324","134","30","34","294","128",
"0500000US29061","Daviess County, Missouri","8294","*****","8011","39","51","26","17","16","17","14","10","14","56","38","132","33","12","12","120","30",
"0500000US29063","DeKalb County, Missouri","11872","*****","10381","41","1061","139","54","59","61","54","12","17","17","16","286","74","23","26","263","69",
"0500000US29065","Dent County, Missouri","15518","*****","14586","154","100","42","124","74","91","53","0","19","94","69","523","167","156","146","367","88",
"0500000US29067","Douglas County, Missouri","13335","*****","12730","74","54","51","255","178","16","30","0","19","197","202","83","65","0","19","83","65",
"0500000US29069","Dunklin County, Missouri","29657","*****","24645","289","3035","160","27","34","142","50","14","13","630","257","1164","245","465","200","699","169",
"0500000US29071","Franklin County, Missouri","103629","*****","99055","364","763","217","253","124","523","179","13","20","549","256","2473","495","678","385","1795","322",
"0500000US29073","Gasconade County, Missouri","14673","*****","14116","76","88","69","53","52","133","78","0","19","24","34","259","91","19","23","240","87",
"0500000US29075","Gentry County, Missouri","6576","*****","6381","31","36","48","17","25","37","2","3","6","26","26","76","46","7","10","69","44",
"0500000US29077","Greene County, Missouri","291574","*****","259990","821","8951","573","1445","277","5771","393","128","75","3137","771","12152","1027","2595","734","9557","808",
"0500000US29079","Grundy County, Missouri","9885","*****","9395","42","26","23","49","32","119","21","1","3","28","35","267","47","88","29","179","39",
"0500000US29081","Harrison County, Missouri","8427","*****","8144","51","68","28","35","22","24","21","3","5","12","11","141","66","49","44","92","45",
"0500000US29083","Henry County, Missouri","21854","*****","20859","120","267","33","49","38","118","23","1","2","41","76","519","84","73","56","446","59",
"0500000US29085","Hickory County, Missouri","9452","*****","9075","48","2","9","145","75","45","45","0","17","40","48","145","81","0","17","145","81",
"0500000US29087","Holt County, Missouri","4374","*****","4227","34","44","30","43","23","41","27","2","4","0","12","17","14","4","6","13","12",
"0500000US29089","Howard County, Missouri","10022","*****","8969","207","588","70","67","20","36","30","0","19","34","35","328","205","224","205","104","51",
"0500000US29091","Howell County, Missouri","40130","*****","38400","110","111","76","453","118","279","98","0","25","85","86","802","199","216","61","586","189",
"0500000US29093","Iron County, Missouri","10150","*****","9711","52","49","33","41","22","48","28","0","19","0","19","301","62","25","20","276","48",
"0500000US29095","Jackson County, Missouri","700733","*****","463747","1825","162903","1431","2174","289","12938","558","2397","200","26679","2057","29895","1905","7518","1165","22377","1513",
"0500000US29097","Jasper County, Missouri","120528","*****","107491","683","2364","265","1482","296","1398","185","343","94","2069","617","5381","529","1145","292","4236","440",
"0500000US29099","Jefferson County, Missouri","224777","*****","211917","981","1943","338","545","138","1748","258","35","37","526","237","8063","1010","3930","927","4133","424",
"0500000US29101","Johnson County, Missouri","53948","*****","47613","271","2096","218","124","77","1144","126","164","34","304","144","2503","343","348","225","2155","278",
"0500000US29103","Knox County, Missouri","3948","*****","3808","14","21","18","0","12","28","26","2","3","6","14","83","34","11","22","72","36",
"0500000US29105","Laclede County, Missouri","35680","*****","33543","266","197","67","218","115","140","53","16","22","184","146","1382","246","371","232","1011","138",
"0500000US29107","Lafayette County, Missouri","32697","*****","30635","84","767","122","69","46","236","16","68","58","384","157","538","149","30","58","508","137",
"0500000US29109","Lawrence County, Missouri","38241","*****","35994","407","122","65","256","155","35","32","45","57","603","393","1186","227","268","122","918","177",
"0500000US29111","Lewis County, Missouri","9898","*****","9202","31","386","70","68","25","4","7","38","36","0","17","200","64","49","40","151","51",
"0500000US29113","Lincoln County, Missouri","57590","*****","54294","222","1321","245","125","61","160","99","12","20","261","195","1417","273","228","151","1189","202",
"0500000US29115","Linn County, Missouri","12004","*****","11640","28","72","27","26","17","43","3","7","9","17","21","199","36","23","21","176","30",
"0500000US29117","Livingston County, Missouri","14969","*****","13955","43","407","92","67","28","96","19","5","17","32","38","407","115","35","25","372","115",
"0500000US29119","McDonald County, Missouri","22882","*****","18484","516","428","74","711","162","349","40","590","15","621","221","1699","520","1044","514","655","187",
"0500000US29121","Macon County, Missouri","15154","*****","14217","50","332","87","94","25","112","19","4","7","27","31","368","90","94","64","274","55",
"0500000US29123","Madison County, Missouri","12176","*****","11735","50","77","44","29","40","43","83","0","19","39","41","253","103","40","42","213","102",
"0500000US29125","Maries County, Missouri","8791","*****","8661","72","27","44","25","42","29","34","0","17","12","19","37","33","0","17","37","33",
"0500000US29127","Marion County, Missouri","28572","*****","26166","98","1243","213","58","38","153","56","41","45","55","67","856","215","50","46","806","209",
"0500000US29129","Mercer County, Missouri","3623","*****","3467","64","13","11","0","12","19","26","0","12","10","15","114","62","24","31","90","58",
"0500000US29131","Miller County, Missouri","25369","*****","24503","40","135","86","88","78","217","141","14","24","36","36","376","175","10","17","366","174",
"0500000US29133","Mississippi County, Missouri","13328","*****","9642","118","3380","109","74","46","5","8","6","10","0","19","221","110","123","96","98","52",
"0500000US29135","Moniteau County, Missouri","15907","*****","14829","95","577","112","132","73","35","47","18","32","102","83","214","119","12","12","202","118",
"0500000US29137","Monroe County, Missouri","8630","*****","8082","39","277","83","61","58","44","12","12","18","24","36","130","56","49","30","81","45",
"0500000US29139","Montgomery County, Missouri","11414","*****","10749","83","187","23","3","6","10","12","1","3","144","76","320","49","54","42","266","22",
"0500000US29141","Morgan County, Missouri","20438","*****","19501","150","198","54","75","99","180","127","0","22","45","57","439","155","104","113","335","122",
"0500000US29143","New Madrid County, Missouri","17275","*****","13993","114","2732","169","34","33","0","19","0","19","0","19","516","208","112","113","404","178",
"0500000US29145","Newton County, Missouri","58288","*****","50871","607","596","136","1111","206","816","114","641","29","391","148","3862","614","1684","563","2178","302",
"0500000US29147","Nodaway County, Missouri","22199","*****","20724","89","573","60","47","26","324","71","24","40","129","72","378","104","87","48","291","96",
"0500000US29149","Oregon County, Missouri","10561","*****","10079","27","10","11","140","101","38","17","5","26","40","24","249","111","0","19","249","111",
"0500000US29151","Osage County, Missouri","13613","*****","13357","40","26","19","82","80","0","19","0","19","20","23","128","82","14","23","114","81",
"0500000US29153","Ozark County, Missouri","9138","*****","8797","57","8","13","81","47","62","40","0","17","32","37","158","73","33","44","125","57",
"0500000US29155","Pemiscot County, Missouri","16330","*****","11297","117","4416","101","13","15","6","13","0","19","157","106","441","134","96","57","345","112",
"0500000US29157","Perry County, Missouri","19227","*****","18461","147","81","38","64","43","193","61","0","19","0","19","428","160","201","167","227","94",
"0500000US29159","Pettis County, Missouri","42421","*****","38331","308","1270","196","150","120","297","68","27","36","1061","312","1285","256","106","93","1179","230",
"0500000US29161","Phelps County, Missouri","44587","*****","39756","402","917","214","324","111","1640","159","0","25","114","92","1836","450","655","348","1181","332",
"0500000US29163","Pike County, Missouri","18158","*****","16265","151","1233","53","36","22","87","21","15","16","160","142","362","128","8","17","354","128",
"0500000US29165","Platte County, Missouri","102848","*****","86355","437","6853","445","298","152","2956","256","522","168","1483","348","4381","588","646","226","3735","553",
"0500000US29167","Polk County, Missouri","32031","*****","30150","200","298","49","419","107","104","72","48","51","71","81","941","233","393","175","548","223",
"0500000US29169","Pulaski County, Missouri","52359","*****","39314","502","5846","348","511","158","1434","214","374","205","1370","400","3510","608","545","276","2965","579",
"0500000US29171","Putnam County, Missouri","4746","*****","4610","62","13","18","0","12","3","5","0","12","0","12","120","62","0","12","120","62",
"0500000US29173","Ralls County, Missouri","10258","*****","9692","138","182","55","49","29","64","74","0","19","68","55","203","141","111","131","92","64",
"0500000US29175","Randolph County, Missouri","24769","*****","22109","186","1483","147","146","52","156","66","0","22","123","106","752","216","150","90","602","189",
