"GEO_ID","NAME","B19013_001E","B19013_001M",
"Geography","Geographic Area Name","Estimate!!Median household income in the past 12 months (in 2024 inflation-adjusted dollars)","Margin of Error!!Median household income in the past 12 months (in 2024 inflation-adjusted dollars)",
"0400000US29","Missouri","70702","325",
"0500000US29001","Adair County, Missouri","61536","4691",
"0500000US29003","Andrew County, Missouri","75625","4530",
"0500000US29005","Atchison County, Missouri","58750","8393",
"0500000US29007","Audrain County, Missouri","59448","5227",
"0500000US29009","Barry County, Missouri","58346","2677",
"0500000US29011","Barton County, Missouri","51635","5457",
"0500000US29013","Bates County, Missouri","60733","4639",
"0500000US29015","Benton County, Missouri","52567","3278",
"0500000US29017","Bollinger County, Missouri","63814","13535",
"0500000US29019","Boone County, Missouri","72758","1612",
"0500000US29021","Buchanan County, Missouri","62158","2788",
"0500000US29023","Butler County, Missouri","49089","3075",
"0500000US29025","Caldwell County, Missouri","64806","4272",
"0500000US29027","Callaway County, Missouri","74176","2935",
"0500000US29029","Camden County, Missouri","66387","4915",
"0500000US29031","Cape Girardeau County, Missouri","68464","3198",
"0500000US29033","Carroll County, Missouri","62154","4087",
"0500000US29035","Carter County, Missouri","50000","8926",
"0500000US29037","Cass County, Missouri","87535","3248",
"0500000US29039","Cedar County, Missouri","48181","4496",
"0500000US29041","Chariton County, Missouri","71520","3182",
"0500000US29043","Christian County, Missouri","83437","2702",
"0500000US29045","Clark County, Missouri","51781","3325",
"0500000US29047","Clay County, Missouri","88468","2010",
"0500000US29049","Clinton County, Missouri","70627","2764",
"0500000US29051","Cole County, Missouri","74876","3475",
"0500000US29053","Cooper County, Missouri","70625","4864",
"0500000US29055","Crawford County, Missouri","57629","4620",
"0500000US29057","Dade County, Missouri","53750","4344",
"0500000US29059","Dallas County, Missouri","53464","7438",
"0500000US29061","Daviess County, Missouri","63984","2702",
"0500000US29063","DeKalb County, Missouri","69826","11753",
"0500000US29065","Dent County, Missouri","56312","4171",
"0500000US29067","Douglas County, Missouri","45985","4512",
"0500000US29069","Dunklin County, Missouri","47849","4146",
"0500000US29071","Franklin County, Missouri","73165","2639",
"0500000US29073","Gasconade County, Missouri","64232","4524",
"0500000US29075","Gentry County, Missouri","55848","4994",
"0500000US29077","Greene County, Missouri","61479","1008",
"0500000US29079","Grundy County, Missouri","51975","3908",
"0500000US29081","Harrison County, Missouri","54367","4510",
"0500000US29083","Henry County, Missouri","57926","4524",
"0500000US29085","Hickory County, Missouri","39390","3056",
"0500000US29087","Holt County, Missouri","61187","1572",
"0500000US29089","Howard County, Missouri","65938","7076",
"0500000US29091","Howell County, Missouri","50993","2030",
"0500000US29093","Iron County, Missouri","48850","4711",
"0500000US29095","Jackson County, Missouri","68577","1129",
"0500000US29097","Jasper County, Missouri","60694","2793",
"0500000US29099","Jefferson County, Missouri","82851","2327",
"0500000US29101","Johnson County, Missouri","67272","2697",
"0500000US29103","Knox County, Missouri","57788","9515",
"0500000US29105","Laclede County, Missouri","53282","2805",
"0500000US29107","Lafayette County, Missouri","80612","6979",
"0500000US29109","Lawrence County, Missouri","61215","4968",
"0500000US29111","Lewis County, Missouri","59934","3745",
"0500000US29113","Lincoln County, Missouri","89278","1971",
"0500000US29115","Linn County, Missouri","61635","5399",
"0500000US29117","Livingston County, Missouri","63627","5612",
"0500000US29119","McDonald County, Missouri","52375","4081",
"0500000US29121","Macon County, Missouri","62357","5108",
"0500000US29123","Madison County, Missouri","54434","4204",
"0500000US29125","Maries County, Missouri","59455","10375",
"0500000US29127","Marion County, Missouri","62903","2753",
"0500000US29129","Mercer County, Missouri","62679","14517",
"0500000US29131","Miller County, Missouri","56736","5476",
"0500000US29133","Mississippi County, Missouri","48160","7079",
"0500000US29135","Moniteau County, Missouri","65715","3289",
"0500000US29137","Monroe County, Missouri","54516","6305",
"0500000US29139","Montgomery County, Missouri","65500","5054",
"0500000US29141","Morgan County, Missouri","53412","5051",
"0500000US29143","New Madrid County, Missouri","51881","4292",
"0500000US29145","Newton County, Missouri","66301","3221",
"0500000US29147","Nodaway County, Missouri","59315","3123",
"0500000US29149","Oregon County, Missouri","43069","6603",
"0500000US29151","Osage County, Missouri","76681","5883",
"0500000US29153","Ozark County, Missouri","44163","3934",
"0500000US29155","Pemiscot County, Missouri","40089","4225",
"0500000US29157","Perry County, Missouri","62981","3485",
"0500000US29159","Pettis County, Missouri","60430","3404",
"0500000US29161","Phelps County, Missouri","58396","3528",
"0500000US29163","Pike County, Missouri","54989","5518",
"0500000US29165","Platte County, Missouri","96227","2175",
"0500000US29167","Polk County, Missouri","59647","3036",
"0500000US29169","Pulaski County, Missouri","64466","5463",
"0500000US29171","Putnam County, Missouri","63510","7766",
"0500000US29173","Ralls County, Missouri","65388","6991",
"0500000US29175","Randolph County, Missouri","53033","6062",
"0500000US29177","Ray County, Missouri","74573","5326",
"0500000US29179","Reynolds County, Missouri","45028","7093",
"0500000US29181","Ripley County, Missouri","42037","5005",
