"GEO_ID","NAME","B15003_001E","B15003_001M","B15003_002E","B15003_002M","B15003_003E","B15003_003M","B15003_004E","B15003_004M","B15003_005E","B15003_005M","B15003_006E","B15003_006M","B15003_007E","B15003_007M","B15003_008E","B15003_008M","B15003_009E","B15003_009M","B15003_010E","B15003_010M","B15003_011E","B15003_011M","B15003_012E","B15003_012M","B15003_013E","B15003_013M","B15003_014E","B15003_014M","B15003_015E","B15003_015M","B15003_016E","B15003_016M","B15003_017E","B15003_017M","B15003_018E","B15003_018M","B15003_019E","B15003_019M","B15003_020E","B15003_020M","B15003_021E","B15003_021M","B15003_022E","B15003_022M","B15003_023E","B15003_023M","B15003_024E","B15003_024M","B15003_025E","B15003_025M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!No schooling completed","Margin of Error!!Total:!!No schooling completed","Estimate!!Total:!!Nursery school","Margin of Error!!Total:!!Nursery school","Estimate!!Total:!!Kindergarten","Margin of Error!!Total:!!Kindergarten","Estimate!!Total:!!1st grade","Margin of Error!!Total:!!1st grade","Estimate!!Total:!!2nd grade","Margin of Error!!Total:!!2nd grade","Estimate!!Total:!!3rd grade","Margin of Error!!Total:!!3rd grade","Estimate!!Total:!!4th grade","Margin of Error!!Total:!!4th grade","Estimate!!Total:!!5th grade","Margin of Error!!Total:!!5th grade","Estimate!!Total:!!6th grade","Margin of Error!!Total:!!6th grade","Estimate!!Total:!!7th grade","Margin of Error!!Total:!!7th grade","Estimate!!Total:!!8th grade","Margin of Error!!Total:!!8th grade","Estimate!!Total:!!9th grade","Margin of Error!!Total:!!9th grade","Estimate!!Total:!!10th grade","Margin of Error!!Total:!!10th grade","Estimate!!Total:!!11th grade","Margin of Error!!Total:!!11th grade","Estimate!!Total:!!12th grade, no diploma","Margin of Error!!Total:!!12th grade, no diploma","Estimate!!Total:!!Regular high school diploma","Margin of Error!!Total:!!Regular high school diploma","Estimate!!Total:!!GED or alternative credential","Margin of Error!!Total:!!GED or alternative credential","Estimate!!Total:!!Some college, less than 1 year","Margin of Error!!Total:!!Some college, less than 1 year","Estimate!!Total:!!Some college, 1 or more years, no degree","Margin of Error!!Total:!!Some college, 1 or more years, no degree","Estimate!!Total:!!Associate's degree","Margin of Error!!Total:!!Associate's degree","Estimate!!Total:!!Bachelor's degree","Margin of Error!!Total:!!Bachelor's degree","Estimate!!Total:!!Master's degree","Margin of Error!!Total:!!Master's degree","Estimate!!Total:!!Professional school degree","Margin of Error!!Total:!!Professional school degree","Estimate!!Total:!!Doctorate degree","Margin of Error!!Total:!!Doctorate degree",
"0400000US29","Missouri","4243115","1290","45931","1605","1121","251","449","168","606","210","909","333","1546","254","1683","264","2492","494","8017","738","7450","669","43048","1521","37583","1735","61784","2156","68250","2233","64867","2362","1091236","8816","189497","3405","313363","4569","570181","5648","358399","4219","841514","7103","389726","5273","83258","2571","60205","2017",
"0500000US29001","Adair County, Missouri","14136","137","67","54","0","23","2","4","0","23","4","7","0","23","12","18","0","23","27","19","65","76","248","90","50","34","120","57","190","79","151","72","4334","374","565","146","932","194","1491","256","855","186","2329","321","1527","266","369","146","798","240",
"0500000US29003","Andrew County, Missouri","12773","64","22","19","0","19","0","19","0","19","0","19","1","2","0","19","0","19","0","19","0","19","106","62","66","55","114","74","146","69","134","64","4477","285","526","158","957","185","1648","187","891","149","2302","234","1116","191","76","38","191","76",
"0500000US29005","Atchison County, Missouri","3798","31","31","18","0","17","0","17","0","17","0","17","0","17","0","17","0","17","6","5","1","4","60","31","14","7","49","21","125","47","37","22","1441","132","162","77","207","52","577","98","246","59","587","101","200","58","34","17","21","15",
"0500000US29007","Audrain County, Missouri","17031","165","241","113","6","11","0","23","15","31","0","23","0","23","0","23","2","5","59","47","30","33","509","163","252","152","290","112","285","102","338","137","5778","474","1025","203","1364","247","2319","404","1656","234","1750","272","896","201","117","54","99","75",
"0500000US29009","Barry County, Missouri","24550","67","462","112","0","26","0","26","0","26","40","62","0","26","22","24","9","11","182","107","26","28","393","140","335","137","935","229","613","216","407","149","8725","668","1827","326","1815","312","3060","361","2112","378","2366","453","859","223","250","106","112","63",
"0500000US29011","Barton County, Missouri","8077","42","79","45","0","19","11","21","0","19","3","4","0","19","0","19","3","5","15","17","26","15","210","114","96","76","264","175","141","72","164","84","3047","288","395","103","546","147","790","161","883","236","1085","248","274","90","27","17","18","14",
"0500000US29013","Bates County, Missouri","11271","101","102","55","0","19","0","19","0","19","0","19","0","19","7","10","0","19","10","13","48","47","129","56","123","61","210","108","274","80","201","75","4796","320","573","137","825","186","1402","186","906","194","1049","187","517","119","51","30","48","35",
"0500000US29015","Benton County, Missouri","15411","131","266","96","0","23","0","23","10","16","5","8","16","28","0","23","2","3","24","24","5","8","161","80","222","90","229","90","450","206","325","152","5184","431","1127","215","1631","267","2030","255","1418","201","1205","194","829","179","127","69","145","88",
"0500000US29017","Bollinger County, Missouri","7560","71","43","33","0","19","0","19","0","19","0","19","2","6","0","19","0","19","9","13","2","3","51","34","152","101","166","81","169","78","100","48","3395","268","471","193","659","181","666","175","625","188","607","161","231","95","66","48","146","87",
"0500000US29019","Boone County, Missouri","114662","101","1225","365","0","29","0","29","21","33","0","29","69","109","9","20","30","34","135","97","162","143","497","169","263","115","988","243","1078","281","833","229","19072","1091","3988","547","6598","587","12282","953","8320","704","32613","1485","16443","1002","4570","596","5466","566",
"0500000US29021","Buchanan County, Missouri","57137","191","789","190","42","57","0","29","7","11","0","29","51","42","17","23","35","33","121","65","170","79","450","133","683","185","1176","268","1080","228","916","194","17846","759","3976","391","4653","508","7899","644","3597","374","9215","690","3310","319","646","174","458","151",
"0500000US29023","Butler County, Missouri","28761","187","339","149","0","26","0","26","0","26","0","26","0","26","0","26","17","18","21","26","47","34","672","191","350","152","1152","274","1059","276","694","340","9663","800","1643","259","2374","349","3523","491","2669","347","2945","451","1094","301","171","106","328","170",
"0500000US29025","Caldwell County, Missouri","6170","33","77","35","0","17","0","17","0","17","0","17","0","17","0","17","0","17","2","3","8","8","86","48","78","58","64","42","144","50","42","21","2200","173","285","67","608","100","769","120","577","96","800","114","322","63","72","36","36","26",
"0500000US29027","Callaway County, Missouri","31173","167","248","131","0","26","0","26","0","26","0","26","0","26","0","26","0","26","27","24","43","55","316","129","209","123","632","196","721","226","567","303","8977","708","2173","383","2429","359","4291","540","2859","387","5125","520","1953","312","388","154","215","102",
"0500000US29029","Camden County, Missouri","33636","77","227","85","0","26","0","26","0","26","0","26","0","26","12","19","0","26","45","44","12","18","195","85","178","93","459","139","605","155","581","206","10425","690","1301","215","2992","368","5006","509","2778","374","5707","491","2249","310","547","129","317","140",
"0500000US29031","Cape Girardeau County, Missouri","53914","214","435","190","6","15","0","29","0","29","0","29","6","25","10","20","0","29","54","58","37","41","434","130","431","163","943","268","958","243","654","212","15455","1012","2031","351","3611","472","7476","785","3531","526","11373","820","4669","530","936","318","864","221",
"0500000US29033","Carroll County, Missouri","5948","45","33","23","0","17","0","17","0","17","1","2","0","17","2","4","1","2","4","4","11","14","65","30","62","35","187","92","128","70","90","38","2422","242","279","76","462","106","685","152","371","99","706","122","338","96","67","51","34","32",
"0500000US29035","Carter County, Missouri","3562","93","28","25","0","17","0","17","0","17","0","17","0","17","0","17","0","17","12","21","9","11","49","40","58","42","138","98","340","132","57","53","1352","196","232","93","157","67","383","114","389","147","240","95","105","65","0","17","13","22",
