COUNTY,VOTES_2020,UNIQUE_POLLING_PLACES,VOTERS_PER_POLLING_PLACE,PRECINCTS_PER_POLLING_PLACE,TURNOUT_PCT_2020
ST. LOUIS COUNTY,535998,,,,
JOHNSON,23123,10,2312,12.70,54.59
JEFFERSON,116688,53,2202,7.66,67.57
PLATTE,57270,27,2121,8.85,73.01
MADISON,5676,3,1892,7.33,60.8
CHRISTIAN,46839,25,1874,7.32,71.88
GREENE,141800,76,1866,3.25,61.4
ST. CHARLES,222017,122,1820,5.56,72.65
CLINTON,10888,6,1815,16.17,69.44
PULASKI,14414,8,1802,14.25,35.25
KANSAS CITY,136645,76,1798,5.22,
LINCOLN,29018,17,1707,7.29,67.58
CLAY,126569,79,1602,4.14,67.67
BUCHANAN,36598,23,1591,4.91,53.74
CRAWFORD,10973,7,1568,11.71,59.27
