COUNTY,INCOME_2020,TURNOUT_PCT_2020,NO_VEHICLE_2020
ST. CHARLES,87644,72.65,0.84
PLATTE,82448,73.01,0.84
CASS,72522,72.24,1.12
CLAY,72047,67.67,1.55
LINCOLN,70424,67.58,2.38
JEFFERSON,67606,67.57,0.67
RAY,65303,65.82,1.77
WARREN,64735,68.56,0.53
CHRISTIAN,64442,71.88,1.57
CLINTON,62213,69.44,1.18
OSAGE,62087,71.9,3.48
LAFAYETTE,62076,67.53,1.75
STE. GENEVIEVE,61746,52.33,0.47
COLE,61184,66.46,1.87
FRANKLIN,60129,67.22,1.59
CALLAWAY,59835,59.72,2.31
ANDREW,58911,72.13,2
BOONE,58740,63.68,5.14
PULASKI,58426,35.25,19.46
MONITEAU,57012,59.94,0.3
JACKSON,56960,25.45,3.44
PERRY,56861,64.18,1.02
JOHNSON,56440,54.59,3.86
GASCONADE,56380,68.07,1.75
WEBSTER,55827,65.85,1.77
HOWARD,55000,64.71,3.54
MARION,54277,61.14,2.21
RALLS,54194,70.29,1.69
CAPE GIRARDEAU,53776,64.99,1.82
CAMDEN,53520,65.77,1.49
COOPER,53003,63.53,1.39
DAVIESS,52143,63.46,2.43
MONTGOMERY,52123,64.84,3.63
NEWTON,52067,64.04,1.15
BUCHANAN,51933,53.74,1.93
ATCHISON,51625,67.76,1.89
CHARITON,51545,70.83,3.61
STONE,51476,69.46,1.37
CALDWELL,51451,67.66,2.59
CARROLL,51414,66.78,0.92
LINN,51150,62.41,1.91
LIVINGSTON,50818,57.28,1.44
RANDOLPH,50440,55.39,0.92
MERCER,50030,64.79,0.97
PETTIS,49315,59.86,1.76
JASPER,49155,57.85,1.64
PUTNAM,48833,64.56,1.41
MARIES,48276,68.26,1.64
MADISON,47984,60.8,1.74
MILLER,47964,63.86,1.76
TANEY,47860,59.96,1.55
SCOTLAND,47708,56.86,2.96
POLK,47614,61.09,3.38
SALINE,47585,53.83,1.56
WORTH,47500,70.02,6.46
HENRY,47500,63.34,1.59
GREENE,47053,61.4,2.68
GRUNDY,46885,59.42,6.25
GENTRY,46774,66.01,6.28
BATES,46733,67.58,1.4
LACLEDE,46582,62.53,1.44
HOLT,46442,67.23,3.12
SCOTT,46310,60.44,1.32
ST. FRANCOIS,46307,53.21,1.7
NODAWAY,46303,52.98,4.32
CLARK,45842,64.86,4.93
BARRY,45811,56.63,2.14
ST. LOUIS CITY,45782,54.31,11.92
BOLLINGER,45140,62.72,3.43
LEWIS,45118,60.18,4.34
PHELPS,44987,55.58,5.13
PIKE,44920,54.72,1.69
AUDRAIN,44699,54.53,1.23
MACON,44696,67.53,3.12
BARTON,44510,67.7,2.6
SCHUYLER,44420,59.19,1.73
CRAWFORD,44380,59.27,1.85
LAWRENCE,44060,62.77,1.61
SULLIVAN,44056,51.73,0.71
VERNON,43910,59,3.22
SHELBY,43809,73.74,8.89
DOUGLAS,43714,67.24,1.65
MONROE,43422,66.31,2.97
MCDONALD,42876,53.31,1.64
WASHINGTON,42849,52.39,1.83
STODDARD,42761,58.7,1.75
DENT,42714,59.26,1.32
CARTER,42403,62.92,1.6
ADAIR,42301,49.93,4.5
BUTLER,42227,55.82,2.15
DADE,42117,68.46,2.38
BENTON,41751,65.63,2.77
MORGAN,41477,60.17,2.73
HARRISON,40615,60.11,3.97
DALLAS,40404,63.07,1.29
NEW MADRID,40129,54.67,1.95
IRON,40082,57.12,1.13
REYNOLDS,39552,64.62,2
HOWELL,39482,61.12,1.37
CEDAR,39408,65.81,2.73
ST. CLAIR,39000,65.62,3.17
DUNKLIN,38020,47.24,2.38
WAYNE,38018,56.42,1.58
KNOX,37588,61.66,1.2
WRIGHT,36711,64.42,3
SHANNON,36229,60.69,2.45
RIPLEY,36066,54.81,0.39
TEXAS,35758,56.54,2.91
PEMISCOT,34709,47.32,1.81
MISSISSIPPI,34354,45.14,3.71
HICKORY,33342,64.49,0.67
OZARK,33046,65.78,6.09
OREGON,32766,57.95,1.65
