county_clean,POLLING_RECORDS
ADAIR,49
ANDREW,80
ATCHISON,55
AUDRAIN,127
BARRY,169
BARTON,58
BATES,105
BENTON,70
BOLLINGER,48
BOONE,305
BUCHANAN,113
BUTLER,84
CALDWELL,101
CALLAWAY,119
CAMDEN,144
CAPE GIRARDEAU,198
CARROLL,101
CARTER,20
CASS,330
CEDAR,71
CHARITON,64
CHRISTIAN,183
CLARK,48
CLAY,327
CLINTON,97
COLE,126
COOPER,90
CRAWFORD,82
DADE,58
DALLAS,32
DAVIESS,110
DE KALB,73
DENT,52
DOUGLAS,61
DUNKLIN,67
FRANKLIN,321
GASCONADE,70
GENTRY,45
GREENE,247
GRUNDY,57
HARRISON,69
HENRY,86
HICKORY,34
HOLT,54
HOWARD,72
HOWELL,117
IRON,67
JACKSON,693
JASPER,297
JEFFERSON,406
JOHNSON,127
KANSAS CITY,397
KNOX,40
LACLEDE,95
LAFAYETTE,173
LAWRENCE,142
LEWIS,63
LINCOLN,124
LINN,95
LIVINGSTON,69
MACON,122
MADISON,22
MARIES,62
MARION,71
MCDONALD,85
MERCER,35
MILLER,116
MISSISSIPPI,32
MONITEAU,71
MONROE,95
MONTGOMERY,80
MORGAN,134
NEW MADRID,80
NEWTON,126
NODAWAY,104
OREGON,45
OSAGE,119
OZARK,38
PEMISCOT,86
PERRY,33
PETTIS,143
PHELPS,87
PIKE,77
PLATTE,239
POLK,102
PULASKI,114
PUTNAM,28
RALLS,37
RANDOLPH,99
RAY,165
REYNOLDS,25
RIPLEY,118
SALINE,209
SCHUYLER,28
SCOTLAND,27
SCOTT,105
SHANNON,26
SHELBY,75
ST. CHARLES,678
ST. CLAIR,75
ST. FRANCOIS,140
ST. LOUIS,1247
ST. LOUIS CITY,253
STE. GENEVIEVE,38
STODDARD,98
STONE,77
SULLIVAN,67
TANEY,139
TEXAS,72
VERNON,85
WARREN,76
WASHINGTON,70
WAYNE,53
WEBSTER,64
WORTH,30
WRIGHT,55
