created_on,name,database_name,schema_name,kind,comment,cluster_by,rows,bytes,owner,retention_time,automatic_clustering,change_tracking,search_optimization,search_optimization_progress,search_optimization_bytes,is_external,enable_schema_evolution,owner_role_type,is_event,is_hybrid,is_iceberg,is_dynamic,is_immutable,is_interactive
2026-03-13 13:06:42.143 -0700,COUNTY_POLLING_SUMMARY,SNOWBEARAIR_DB,VOTER_PROJECT,TABLE,,,116,3584,TRAINING_ROLE,1,OFF,OFF,OFF,,,N,N,ROLE,N,N,N,N,N,N
2026-03-13 13:15:16.970 -0700,PRECINCT_TURNOUT,SNOWBEARAIR_DB,VOTER_PROJECT,TABLE,,,10318,281600,TRAINING_ROLE,1,OFF,OFF,OFF,,,N,N,ROLE,N,N,N,N,N,N
2026-03-13 13:04:21.353 -0700,SNOWPARK_TEMP_TABLE_098MVZZSVB,SNOWBEARAIR_DB,VOTER_PROJECT,TEMPORARY,,,5,2560,TRAINING_ROLE,1,OFF,OFF,OFF,,,N,N,ROLE,N,N,N,N,N,N
2026-03-13 13:09:37.099 -0700,SNOWPARK_TEMP_TABLE_0HBEVGP1Z5,SNOWBEARAIR_DB,VOTER_PROJECT,TEMPORARY,,,5,3072,TRAINING_ROLE,1,OFF,OFF,OFF,,,N,N,ROLE,N,N,N,N,N,N
2026-03-13 12:46:50.628 -0700,SNOWPARK_TEMP_TABLE_0I3Y6HQP9P,SNOWBEARAIR_DB,VOTER_PROJECT,TEMPORARY,,,5,3072,TRAINING_ROLE,1,OFF,OFF,OFF,,,N,N,ROLE,N,N,N,N,N,N
2026-03-13 12:41:50.019 -0700,SNOWPARK_TEMP_TABLE_0XAABN71EE,SNOWBEARAIR_DB,VOTER_PROJECT,TEMPORARY,,,10,3584,TRAINING_ROLE,1,OFF,OFF,OFF,,,N,N,ROLE,N,N,N,N,N,N
2026-03-13 12:43:48.215 -0700,SNOWPARK_TEMP_TABLE_0YKBTT2ON8,SNOWBEARAIR_DB,VOTER_PROJECT,TEMPORARY,,,5,2560,TRAINING_ROLE,1,OFF,OFF,OFF,,,N,N,ROLE,N,N,N,N,N,N
2026-03-13 12:56:40.099 -0700,SNOWPARK_TEMP_TABLE_1C2JW0XMMN,SNOWBEARAIR_DB,VOTER_PROJECT,TEMPORARY,,,10,3584,TRAINING_ROLE,1,OFF,OFF,OFF,,,N,N,ROLE,N,N,N,N,N,N
2026-03-13 12:55:10.729 -0700,SNOWPARK_TEMP_TABLE_1DZIZKO6YW,SNOWBEARAIR_DB,VOTER_PROJECT,TEMPORARY,,,5,2560,TRAINING_ROLE,1,OFF,OFF,OFF,,,N,N,ROLE,N,N,N,N,N,N
2026-03-13 12:55:20.923 -0700,SNOWPARK_TEMP_TABLE_1K2CNWSGCL,SNOWBEARAIR_DB,VOTER_PROJECT,TEMPORARY,,,5,2560,TRAINING_ROLE,1,OFF,OFF,OFF,,,N,N,ROLE,N,N,N,N,N,N
2026-03-13 12:55:14.846 -0700,SNOWPARK_TEMP_TABLE_1SEKQRZ6DQ,SNOWBEARAIR_DB,VOTER_PROJECT,TEMPORARY,,,5,3072,TRAINING_ROLE,1,OFF,OFF,OFF,,,N,N,ROLE,N,N,N,N,N,N
2026-03-13 13:04:14.114 -0700,SNOWPARK_TEMP_TABLE_1SVLANPRHM,SNOWBEARAIR_DB,VOTER_PROJECT,TEMPORARY,,,5,2560,TRAINING_ROLE,1,OFF,OFF,OFF,,,N,N,ROLE,N,N,N,N,N,N
2026-03-13 13:04:06.415 -0700,SNOWPARK_TEMP_TABLE_2EL645WBAZ,SNOWBEARAIR_DB,VOTER_PROJECT,TEMPORARY,,,10,3584,TRAINING_ROLE,1,OFF,OFF,OFF,,,N,N,ROLE,N,N,N,N,N,N
2026-03-13 12:46:38.994 -0700,SNOWPARK_TEMP_TABLE_2WSVFGZHEX,SNOWBEARAIR_DB,VOTER_PROJECT,TEMPORARY,,,5,3072,TRAINING_ROLE,1,OFF,OFF,OFF,,,N,N,ROLE,N,N,N,N,N,N
2026-03-13 12:56:54.705 -0700,SNOWPARK_TEMP_TABLE_5A7ZHK0AZG,SNOWBEARAIR_DB,VOTER_PROJECT,TEMPORARY,,,5,3072,TRAINING_ROLE,1,OFF,OFF,OFF,,,N,N,ROLE,N,N,N,N,N,N
2026-03-13 12:46:55.211 -0700,SNOWPARK_TEMP_TABLE_5JRNOI87YY,SNOWBEARAIR_DB,VOTER_PROJECT,TEMPORARY,,,5,5632,TRAINING_ROLE,1,OFF,OFF,OFF,,,N,N,ROLE,N,N,N,N,N,N
2026-03-13 12:52:06.631 -0700,SNOWPARK_TEMP_TABLE_78Y2Z471XZ,SNOWBEARAIR_DB,VOTER_PROJECT,TEMPORARY,,,5,5632,TRAINING_ROLE,1,OFF,OFF,OFF,,,N,N,ROLE,N,N,N,N,N,N
2026-03-13 13:09:32.501 -0700,SNOWPARK_TEMP_TABLE_7NRVRN25PX,SNOWBEARAIR_DB,VOTER_PROJECT,TEMPORARY,,,5,2560,TRAINING_ROLE,1,OFF,OFF,OFF,,,N,N,ROLE,N,N,N,N,N,N
2026-03-13 12:57:04.206 -0700,SNOWPARK_TEMP_TABLE_7WWHEL9DCR,SNOWBEARAIR_DB,VOTER_PROJECT,TEMPORARY,,,5,3072,TRAINING_ROLE,1,OFF,OFF,OFF,,,N,N,ROLE,N,N,N,N,N,N
2026-03-13 12:42:03.101 -0700,SNOWPARK_TEMP_TABLE_7Y0NWI80BM,SNOWBEARAIR_DB,VOTER_PROJECT,TEMPORARY,,,5,2560,TRAINING_ROLE,1,OFF,OFF,OFF,,,N,N,ROLE,N,N,N,N,N,N
2026-03-13 12:41:57.333 -0700,SNOWPARK_TEMP_TABLE_8JBCPRCJHL,SNOWBEARAIR_DB,VOTER_PROJECT,TEMPORARY,,,5,2560,TRAINING_ROLE,1,OFF,OFF,OFF,,,N,N,ROLE,N,N,N,N,N,N
2026-03-13 12:46:24.703 -0700,SNOWPARK_TEMP_TABLE_9OJ5G0B2ZX,SNOWBEARAIR_DB,VOTER_PROJECT,TEMPORARY,,,10,3584,TRAINING_ROLE,1,OFF,OFF,OFF,,,N,N,ROLE,N,N,N,N,N,N
2026-03-13 12:42:13.611 -0700,SNOWPARK_TEMP_TABLE_APFGHE5QRB,SNOWBEARAIR_DB,VOTER_PROJECT,TEMPORARY,,,5,2560,TRAINING_ROLE,1,OFF,OFF,OFF,,,N,N,ROLE,N,N,N,N,N,N
2026-03-13 13:04:26.643 -0700,SNOWPARK_TEMP_TABLE_B2MNNT88EB,SNOWBEARAIR_DB,VOTER_PROJECT,TEMPORARY,,,5,3072,TRAINING_ROLE,1,OFF,OFF,OFF,,,N,N,ROLE,N,N,N,N,N,N
2026-03-13 12:51:49.784 -0700,SNOWPARK_TEMP_TABLE_C34T6SUQ3E,SNOWBEARAIR_DB,VOTER_PROJECT,TEMPORARY,,,5,2560,TRAINING_ROLE,1,OFF,OFF,OFF,,,N,N,ROLE,N,N,N,N,N,N
2026-03-13 12:43:43.133 -0700,SNOWPARK_TEMP_TABLE_CM4CV04UVZ,SNOWBEARAIR_DB,VOTER_PROJECT,TEMPORARY,,,5,3072,TRAINING_ROLE,1,OFF,OFF,OFF,,,N,N,ROLE,N,N,N,N,N,N
2026-03-13 13:04:43.873 -0700,SNOWPARK_TEMP_TABLE_D2VPH3XJM0,SNOWBEARAIR_DB,VOTER_PROJECT,TEMPORARY,,,5,5632,TRAINING_ROLE,1,OFF,OFF,OFF,,,N,N,ROLE,N,N,N,N,N,N
2026-03-13 12:57:08.786 -0700,SNOWPARK_TEMP_TABLE_D4VZPHW3T2,SNOWBEARAIR_DB,VOTER_PROJECT,TEMPORARY,,,5,5632,TRAINING_ROLE,1,OFF,OFF,OFF,,,N,N,ROLE,N,N,N,N,N,N
2026-03-13 12:43:59.658 -0700,SNOWPARK_TEMP_TABLE_EH8XRNP7U0,SNOWBEARAIR_DB,VOTER_PROJECT,TEMPORARY,,,5,5632,TRAINING_ROLE,1,OFF,OFF,OFF,,,N,N,ROLE,N,N,N,N,N,N
2026-03-13 13:09:41.612 -0700,SNOWPARK_TEMP_TABLE_EMAUGD2SAP,SNOWBEARAIR_DB,VOTER_PROJECT,TEMPORARY,,,5,5632,TRAINING_ROLE,1,OFF,OFF,OFF,,,N,N,ROLE,N,N,N,N,N,N
2026-03-13 12:43:28.566 -0700,SNOWPARK_TEMP_TABLE_FNAUXJQ77B,SNOWBEARAIR_DB,VOTER_PROJECT,TEMPORARY,,,10,3584,TRAINING_ROLE,1,OFF,OFF,OFF,,,N,N,ROLE,N,N,N,N,N,N
2026-03-13 12:42:18.244 -0700,SNOWPARK_TEMP_TABLE_FPPV4POMPP,SNOWBEARAIR_DB,VOTER_PROJECT,TEMPORARY,,,5,3072,TRAINING_ROLE,1,OFF,OFF,OFF,,,N,N,ROLE,N,N,N,N,N,N
2026-03-13 12:51:58.223 -0700,SNOWPARK_TEMP_TABLE_FWWXPWITHM,SNOWBEARAIR_DB,VOTER_PROJECT,TEMPORARY,,,5,2560,TRAINING_ROLE,1,OFF,OFF,OFF,,,N,N,ROLE,N,N,N,N,N,N
2026-03-13 13:09:27.764 -0700,SNOWPARK_TEMP_TABLE_HK54S5R4BN,SNOWBEARAIR_DB,VOTER_PROJECT,TEMPORARY,,,5,3072,TRAINING_ROLE,1,OFF,OFF,OFF,,,N,N,ROLE,N,N,N,N,N,N
2026-03-13 12:42:23.246 -0700,SNOWPARK_TEMP_TABLE_HKNQR7SPEZ,SNOWBEARAIR_DB,VOTER_PROJECT,TEMPORARY,,,5,5632,TRAINING_ROLE,1,OFF,OFF,OFF,,,N,N,ROLE,N,N,N,N,N,N
2026-03-13 13:09:22.636 -0700,SNOWPARK_TEMP_TABLE_IZ04FZZ0Z6,SNOWBEARAIR_DB,VOTER_PROJECT,TEMPORARY,,,5,2560,TRAINING_ROLE,1,OFF,OFF,OFF,,,N,N,ROLE,N,N,N,N,N,N
2026-03-13 12:51:45.046 -0700,SNOWPARK_TEMP_TABLE_J1SZ8X8C0B,SNOWBEARAIR_DB,VOTER_PROJECT,TEMPORARY,,,5,2560,TRAINING_ROLE,1,OFF,OFF,OFF,,,N,N,ROLE,N,N,N,N,N,N
2026-03-13 13:04:38.005 -0700,SNOWPARK_TEMP_TABLE_J852HPWQWA,SNOWBEARAIR_DB,VOTER_PROJECT,TEMPORARY,,,5,3072,TRAINING_ROLE,1,OFF,OFF,OFF,,,N,N,ROLE,N,N,N,N,N,N
2026-03-13 12:46:34.502 -0700,SNOWPARK_TEMP_TABLE_KKGPV26PNB,SNOWBEARAIR_DB,VOTER_PROJECT,TEMPORARY,,,5,2560,TRAINING_ROLE,1,OFF,OFF,OFF,,,N,N,ROLE,N,N,N,N,N,N
2026-03-13 12:55:00.348 -0700,SNOWPARK_TEMP_TABLE_NE60JIG1IC,SNOWBEARAIR_DB,VOTER_PROJECT,TEMPORARY,,,10,3584,TRAINING_ROLE,1,OFF,OFF,OFF,,,N,N,ROLE,N,N,N,N,N,N
2026-03-13 12:43:53.456 -0700,SNOWPARK_TEMP_TABLE_NJLMFOX7IE,SNOWBEARAIR_DB,VOTER_PROJECT,TEMPORARY,,,5,3072,TRAINING_ROLE,1,OFF,OFF,OFF,,,N,N,ROLE,N,N,N,N,N,N
