created_on,name,database_name,schema_name,kind,comment,cluster_by,rows,bytes,owner,retention_time,automatic_clustering,change_tracking,is_external,enable_schema_evolution,owner_role_type,is_event,is_hybrid,is_iceberg,is_dynamic,is_immutable,is_interactive
2026-03-16 15:15:12.070 -0700,COUNTY_ANALYSIS,VOTER_PROJECT_DB,ANALYTICS,TABLE,,,117,30208,ACCOUNTADMIN,1,OFF,OFF,N,N,ROLE,N,N,N,N,N,N
2026-03-16 15:15:08.516 -0700,COUNTY_CENSUS,VOTER_PROJECT_DB,ANALYTICS,TABLE,,,345,19968,ACCOUNTADMIN,1,OFF,OFF,N,N,ROLE,N,N,N,N,N,N
2026-03-16 15:15:16.428 -0700,COUNTY_POLLING_SUMMARY,VOTER_PROJECT_DB,ANALYTICS,TABLE,,,116,3584,ACCOUNTADMIN,1,OFF,OFF,N,N,ROLE,N,N,N,N,N,N
2026-03-16 15:15:01.000 -0700,COUNTY_TURNOUT,VOTER_PROJECT_DB,ANALYTICS,TABLE,,,348,15872,ACCOUNTADMIN,1,OFF,OFF,N,N,ROLE,N,N,N,N,N,N
2026-03-16 15:15:04.876 -0700,COUNTY_TURNOUT_TREND,VOTER_PROJECT_DB,ANALYTICS,TABLE,,,117,13824,ACCOUNTADMIN,1,OFF,OFF,N,N,ROLE,N,N,N,N,N,N
2026-03-16 15:15:49.523 -0700,COUNTY_VIZ_EXPORT,VOTER_PROJECT_DB,ANALYTICS,TABLE,,,117,32256,ACCOUNTADMIN,1,OFF,OFF,N,N,ROLE,N,N,N,N,N,N
2026-03-16 15:14:57.687 -0700,PRECINCT_TURNOUT,VOTER_PROJECT_DB,ANALYTICS,TABLE,,,10318,281600,ACCOUNTADMIN,1,OFF,OFF,N,N,ROLE,N,N,N,N,N,N
2026-03-16 15:14:48.096 -0700,STG_CENSUS_COMMUTE,VOTER_PROJECT_DB,ANALYTICS,TABLE,,,345,8192,ACCOUNTADMIN,1,OFF,OFF,N,N,ROLE,N,N,N,N,N,N
2026-03-16 15:14:42.201 -0700,STG_CENSUS_EDUCATION,VOTER_PROJECT_DB,ANALYTICS,TABLE,,,345,8704,ACCOUNTADMIN,1,OFF,OFF,N,N,ROLE,N,N,N,N,N,N
2026-03-16 15:14:39.234 -0700,STG_CENSUS_INCOME,VOTER_PROJECT_DB,ANALYTICS,TABLE,,,345,5632,ACCOUNTADMIN,1,OFF,OFF,N,N,ROLE,N,N,N,N,N,N
2026-03-16 15:14:45.315 -0700,STG_CENSUS_RACE,VOTER_PROJECT_DB,ANALYTICS,TABLE,,,345,11776,ACCOUNTADMIN,1,OFF,OFF,N,N,ROLE,N,N,N,N,N,N
2026-03-16 15:14:51.712 -0700,STG_CENSUS_SEX_AGE,VOTER_PROJECT_DB,ANALYTICS,TABLE,,,345,9728,ACCOUNTADMIN,1,OFF,OFF,N,N,ROLE,N,N,N,N,N,N
2026-03-16 15:14:35.843 -0700,STG_ELECTION_RESULTS,VOTER_PROJECT_DB,ANALYTICS,TABLE,,,69749,780288,ACCOUNTADMIN,1,OFF,OFF,N,N,ROLE,N,N,N,N,N,N
2026-03-16 15:14:54.145 -0700,STG_POLLING_LOCATIONS,VOTER_PROJECT_DB,ANALYTICS,TABLE,,,14354,514048,ACCOUNTADMIN,1,OFF,OFF,N,N,ROLE,N,N,N,N,N,N
