COUNTY,ELECTION_NAME,LOCATION_CODE,LOCATION_NAME,PRECINCT_CODE,PRECINCT,SPLIT_CODE,LOCATION_ADDRESS,lat,lon,geometry
Adair,"NOVEMBER 3, 2020 GENERAL",BRASHEAR1,NEMO FAIR GROUNDS,1009,BRASHEAR/WILSON,03,"2700 E ILLINOIS ST KIRKSVILLE, 63501",40.196907,-92.552397,POINT (-92.552397 40.196907)
Adair,"NOVEMBER 3, 2020 GENERAL",CORNERSTON,CORNERSTONE CHURCH,101,SOUTHWEST ONE/BENTON,01,"1702 N ELSON ST KIRKSVILLE, 63501",40.2080196,-92.5841936,POINT (-92.5841936 40.2080196)
Adair,"NOVEMBER 3, 2020 GENERAL",REHOBOTH,REHOBOTH BAPTIST CHURCH,102,SOUTHEAST TWO/BENTON,01,"100 PFEIFFER AVE KIRKSVILLE, 63501",40.1940987,-92.5582592,POINT (-92.5582592 40.1940987)
Adair,"NOVEMBER 3, 2020 GENERAL",MOOSE,LOYAL ORDER OF THE MOOSE LODGE,103,SOUTHEAST THREE/BENTON,01,"2405 E. ILLINOIS ST. KIRKSVILLE, 63501",40.1970452,-92.5566421,POINT (-92.5566421 40.1970452)
Adair,"NOVEMBER 3, 2020 GENERAL",ANNEX,ADAIR COUNTY ANNEX,104,NORTHEAST FOUR/BENTON,01,"300 N FRANKLIN ST KIRKSVILLE, 63501",40.1967056,-92.5828738,POINT (-92.5828738 40.1967056)
Adair,"NOVEMBER 3, 2020 GENERAL",MOOSE5,LOYAL ORDER OF THE MOOSE 5,105,NORTHEAST FIVE/BENTON,01,"2405 E ILLINOIS ST KIRKSVILLE, 63501",40.1970452,-92.5566421,POINT (-92.5566421 40.1970452)
Adair,"NOVEMBER 3, 2020 GENERAL",STUDENT UN,"STUDENT UNION, FIRST FLOOR",107,TSU/BENTON,01,"901 S FRANKLIN ST KIRKSVILLE, 63501",40.189941,-92.583053,POINT (-92.583053 40.189941)
Adair,"NOVEMBER 3, 2020 GENERAL",CONSER,MO. DEPT. OF CONSERVATION,108,RURAL BENTON/BENTON,01,"3500 S. BALTIMORE KIRKSVILLE, 63501",40.2151384,-92.5824861,POINT (-92.5824861 40.2151384)
Adair,"NOVEMBER 3, 2020 GENERAL",NOVINGER,NOVINGER COMMUNITY CENTER,312,NOVINGER/LIBERTY,01,"101 SNYDER AVE NOVINGER, 63559",40.230423,-92.7091604,POINT (-92.7091604 40.230423)
Andrew,2020 General Election,01,FILLMORE LINCOLN LODGE,1,CLAY,01,"153 E MAIN FILLMORE, 64449",40.0250414,-94.9729027,POINT (-94.9729027 40.0250414)
Andrew,2020 General Election,16,SHADY LAWN NURSING HOME,16,ROCHESTER,01,"13227 STATE ROUTE D SAVANNAH, 64485",35.0061459,-80.928256,POINT (-80.928256 35.0061459)
Andrew,2020 General Election,17,HELENA LIONS CLUB,17,HELENA,01,"14626 MAPLE STREET HELENA, 64459",39.913449,-94.650741,POINT (-94.650741 39.913449)
Andrew,2020 General Election,18,COSBY/HELENA FIRE DISTRICT,18,EAST MONROE,01,"561 MAIN STREET COSBY, 64436",39.8639615,-94.6792617,POINT (-94.6792617 39.8639615)
Andrew,2020 General Election,02,FILLMORE LINCOLN LODGE 2,2,FILLMORE,01,"153 E MAIN  FILLMORE, 64449",40.0250414,-94.9729027,POINT (-94.9729027 40.0250414)
Andrew,2020 General Election,03,AMAZONIA COMMUNITY BUILDING,3,LINCOLN,01,"410 HACKBERRY AMAZONIA, 64421",39.8904214,-94.8916536,POINT (-94.8916536 39.8904214)
Andrew,2020 General Election,04,COURTHOUSE BASEMENT4,4,NE SAVANNAH,01,"411 COURT STREET SAVANNAH, 64485",39.9412806,-94.8294588,POINT (-94.8294588 39.9412806)
Andrew,2020 General Election,05,UNITED METHODIST CHURCH 5,5,NW SAVANNAH,01,"103 N 4TH STREET SAVANNAH, 64485",39.9418731,-94.8285191,POINT (-94.8285191 39.9418731)
Andrew,2020 General Election,08,LIVING HOPE CHURCH,8,BEELER,01,"19410 HIGHWAY 59 ST. JOSEPH , 64505",39.8031377,-94.8150439,POINT (-94.8150439 39.8031377)
